INFO 2026-04-29 22:40:53,795 autoreload Watching for file changes with StatReloader
DEBUG 2026-04-29 22:40:53,796 autoreload Waiting for apps ready_event.
DEBUG 2026-04-29 22:40:56,137 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2026-04-29 22:40:56,224 autoreload Watching dir D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\drf_spectacular\templates with glob **/*.
DEBUG 2026-04-29 22:40:56,224 autoreload Watching dir D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\locale with glob **/*.mo.
DEBUG 2026-04-29 22:40:56,224 autoreload Watching dir D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\drf_spectacular\locale with glob **/*.mo.
DEBUG 2026-04-29 22:40:56,225 autoreload Watching dir D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\api\locale with glob **/*.mo.
DEBUG 2026-04-29 22:40:56,225 autoreload Watching dir D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\authentication\locale with glob **/*.mo.
DEBUG 2026-04-29 22:40:56,225 autoreload Watching dir D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\transactions\locale with glob **/*.mo.
DEBUG 2026-04-29 22:40:56,226 autoreload Watching dir D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\services\locale with glob **/*.mo.
DEBUG 2026-04-29 22:40:56,601 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\charset_normalizer\models.py first seen with mtime 1777080110.7537105
DEBUG 2026-04-29 22:40:56,602 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\core\files\storage\filesystem.py first seen with mtime 1776481033.7448494
DEBUG 2026-04-29 22:40:56,602 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\db\migrations\migration.py first seen with mtime 1776481033.9364026
DEBUG 2026-04-29 22:40:56,602 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\email\_parseaddr.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,603 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\sqlparse\tokens.py first seen with mtime 1776481023.8349144
DEBUG 2026-04-29 22:40:56,603 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\DLLs\_uuid.pyd first seen with mtime 1696271228.0
DEBUG 2026-04-29 22:40:56,603 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\rest_framework\utils\model_meta.py first seen with mtime 1776481048.6837068
DEBUG 2026-04-29 22:40:56,604 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\asyncio\futures.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,604 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\email\mime\multipart.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,604 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\core\files\storage\handler.py first seen with mtime 1776481033.751849
DEBUG 2026-04-29 22:40:56,604 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\encodings\cp950.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,605 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\contrib\sites\requests.py first seen with mtime 1776481033.007209
DEBUG 2026-04-29 22:40:56,605 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\re\_constants.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,605 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\email\feedparser.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,606 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\encodings\iso8859_2.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,606 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\encodings\mac_greek.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,606 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\psycopg2\extensions.py first seen with mtime 1776482351.6354454
DEBUG 2026-04-29 22:40:56,606 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\typing_extensions.py first seen with mtime 1776736464.9380443
DEBUG 2026-04-29 22:40:56,607 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\encodings\euc_jis_2004.py first seen with mtime 1696271158.0
